DogadajID,NazivDogadaja,Datum,Opis
1,Predstavljanje nove knjige,2025-03-15,Autorsko predstavljanje nove knjige domaćeg pisca.
2,Čitateljski klub,2025-03-20,Mjesečni sastanak čitateljskog kluba za raspravu o zadanoj knjizi.
3,Radionica kreativnog pisanja,2025-04-05,Radionica za sve zainteresirane za razvijanje vještina pisanja.
4,Dječja pričaonica,2025-04-10,Čitanje priča za djecu i kreativne aktivnosti.
5,Književna večer s piscem,2025-04-18,Gostovanje poznatog književnika i razgovor o njegovim djelima.
6,Povijesna predavanja,2025-04-25,Predavanje o hrvatskoj književnoj baštini.
7,Natjecanje u recitiranju poezije,2025-05-02,Školsko natjecanje u kazivanju poezije.
8,Tečaj brzog čitanja,2025-05-10,Radionica za poboljšanje tehnika brzog i učinkovitog čitanja.
9,Književni kviz,2025-05-20,Natjecateljski kviz o književnim djelima i piscima.
10,Humanitarna akcija - daruj knjigu,2025-05-30,Prikupljanje knjiga za školske i gradske knjižnice.
11,Radionica ilustracije,2025-06-05,Kreativna radionica crtanja i ilustriranja knjiga.
12,Predavanje o digitalnim knjigama,2025-06-15,Razgovor o prednostima i izazovima digitalnog izdavaštva.
13,Tjedan poezije,2025-06-20,Čitanje poezije i gostovanje pjesnika.
14,Book swap,2025-07-01,Razmjena knjiga među ljubiteljima čitanja.
15,Ljetno čitanje u parku,2025-07-10,Organizirano čitanje i razgovor o knjigama na otvorenom.
16,Noć knjige,2025-07-20,Cjelonoćno druženje uz knjige i čitanje.
17,Strip radionica,2025-07-30,Uvod u crtanje stripova i stvaranje priča kroz slike.
18,Mala škola pisanja priča,2025-08-05,Radionica za mlade autore u nastajanju.
19,Diskusija o klasičnoj književnosti,2025-08-15,Otvorena rasprava o djelima svjetskih klasika.
20,Gostovanje poznatog prevoditelja,2025-08-25,Razgovor o prevođenju i izazovima književnog prijevoda.
21,Filmska večer - ekranizacije knjiga,2025-09-05,Prikaz filmova snimljenih prema književnim djelima.
22,Radionica bajkopisanja,2025-09-15,Pisanje vlastitih bajki i priča za djecu.
23,Tjedan znanstvene fantastike,2025-09-25,Predstavljanje SF književnosti i rasprave o najpoznatijim djelima.
24,Kazališna adaptacija romana,2025-10-05,Predstavljanje kazališnih adaptacija književnih klasika.
25,Poezija u pokretu,2025-10-15,Ulični performansi čitanja poezije na javnim mjestima.
26,Pisanje eseja,2025-10-25,Radionica za učenike i studente o pisanju eseja.
27,Predstavljanje domaćih autora,2025-11-05,Mladi autori predstavljaju svoja djela.
28,Dan stripa,2025-11-15,Tribina o povijesti i značaju stripa.
29,Edukacija o knjižnicama,2025-11-25,Kako koristiti resurse knjižnice za učenje i istraživanje.
30,Čitanje na glas za slijepe i slabovidne,2025-12-05,Volontersko čitanje knjiga za osobe s oštećenjem vida.
