IzdavacID,Naziv,Adresa,Kontakt
1,Školska knjiga,"Masarykova 28, 10000 Zagreb",01 6130 000
2,Algoritam,"Gajeva 1, 10000 Zagreb",01 4816 100
3,Profil,"Kaptol 25, 10000 Zagreb",01 6303 000
4,Mozaik knjiga,"Slavonska avenija 4, 10000 Zagreb",01 6315 000
5,VBZ,"Ulica kneza Branimira 28, 10000 Zagreb",01 6112 998
6,Fraktura,"Ulica kneza Mislava 17, 10000 Zagreb",01 3357 971
7,Ljevak,"Trg bana Josipa Jelačića 17, 10000 Zagreb",01 4814 649
8,Znanje,"Slavonska avenija 2, 10000 Zagreb",01 6121 200
9,Planetopija,"Ilica 68, 10000 Zagreb",01 4846 197
10,Sandorf,"Ulica kneza Branimira 121, 10000 Zagreb",01 5813 058
11,Srednja Europa,"Savska cesta 50, 10000 Zagreb",01 3456 789
12,Kašmir-Promet d.o.o.,"Palmotićeva ulica 22, 10000 Zagreb",01 5678 123
13,Pergamena d.o.o,"Trg kralja Tomislava 12, 10000 Zagreb",01 6789 234
14,Hangar 7,"Maksimirska cesta 15, 10000 Zagreb",01 7890 345
15,Harfa,"Ilica 150, 10000 Zagreb",01 8901 456
16,Hena Com,"Zagrebačka avenija 104, 10000 Zagreb",01 9012 567
17,Hoću knjigu,"Avenija Dubrovnik 12, 10000 Zagreb",01 0123 678
18,Hrvatska sveučilišna naklada,"Vukovarska ulica 72, 10000 Zagreb",01 1234 789
19,Ibis grafika,"Martićeva ulica 17, 10000 Zagreb",01 2345 890
20,Jesenski i Turk,"Medulićeva ulica 14, 10000 Zagreb",01 3456 901
