KategorijaID,Naziv,Opis
1,Znanstvena fantastika,"Priče o futurističkoj tehnologiji, svemirskim putovanjima i naprednim civilizacijama."
2,Fantastika,"Djela koja uključuju magiju, mitološka bića i nestvarne svjetove."
3,Kriminalistika,Roman u kojem je središnji zaplet zločin i potraga za počiniteljem.
4,Ljubavni roman,Priče koje naglašavaju romantične odnose i ljubavne zaplete.
5,Povijesni roman,"Radnja se odvija u prošlosti, često prikazujući stvarne povijesne događaje."
6,Horor,"Priče koje izazivaju strah, užas i napetost kod čitatelja."
7,Psihološki triler,Napeti romani s naglaskom na mentalna stanja likova.
8,Filozofski roman,Djela koja istražuju egzistencijalna i etička pitanja.
9,Klasici,Književna djela koja su ostavila trajan utjecaj na svjetsku književnost.
10,Avantura,"Priče o putovanjima, istraživanjima i uzbudljivim događajima."
11,Znanstvena fantastika,"Priče o futurističkoj tehnologiji, svemirskim putovanjima i naprednim civilizacijama."
12,Fantastika,"Djela koja uključuju magiju, mitološka bića i nestvarne svjetove."
13,Kriminalistika,Roman u kojem je središnji zaplet zločin i potraga za počiniteljem.
14,Ljubavni roman,Priče koje naglašavaju romantične odnose i ljubavne zaplete.
15,Povijesni roman,"Radnja se odvija u prošlosti, često prikazujući stvarne povijesne događaje."
16,Horor,"Priče koje izazivaju strah, užas i napetost kod čitatelja."
17,Psihološki triler,Napeti romani s naglaskom na mentalna stanja likova.
18,Filozofski roman,Djela koja istražuju egzistencijalna i etička pitanja.
19,Klasici,Književna djela koja su ostavila trajan utjecaj na svjetsku književnost.
20,Avantura,"Priče o putovanjima, istraživanjima i uzbudljivim događajima."
21,Znanstvena fantastika,"Priče o futurističkoj tehnologiji, svemirskim putovanjima i naprednim civilizacijama."
22,Fantastika,"Djela koja uključuju magiju, mitološka bića i nestvarne svjetove."
23,Kriminalistika,Roman u kojem je središnji zaplet zločin i potraga za počiniteljem.
24,Ljubavni roman,Priče koje naglašavaju romantične odnose i ljubavne zaplete.
25,Povijesni roman,"Radnja se odvija u prošlosti, često prikazujući stvarne povijesne događaje."
26,Horor,"Priče koje izazivaju strah, užas i napetost kod čitatelja."
27,Psihološki triler,Napeti romani s naglaskom na mentalna stanja likova.
28,Filozofski roman,Djela koja istražuju egzistencijalna i etička pitanja.
29,Klasici,Književna djela koja su ostavila trajan utjecaj na svjetsku književnost.
30,Avantura,"Priče o putovanjima, istraživanjima i uzbudljivim događajima."
